url_path,views_total,views_unique
/CDCgov/eMKF/tree/main/Testing-and-implementation,12,5
/CDCgov/eMKF,10,8
/CDCgov/eMKF/tree/main/CDCgov/eMKF,8,3
/CDCgov/eMKF/tree/main/Sample-data-files,7,3
/CDCgov/eMKF/blob/main/Testing-and-implementation/Example-eMKF-Simulated-Mortality-Data.sas,6,4
/CDCgov/eMKF/tree/main/CDCgov,5,3
/CDCgov/eMKF/blob/main/Testing-and-implementation/Example-eMKF-NHANES-Data.sas,4,4
/CDCgov/eMKF/tree/main,4,2
/CDCgov/eMKF/tree/main/CDCgov/eMKF/latest-report,3,1
/CDCgov/eMKF/blob/main/Sample-data-files/nhanes9920obesity.csv,2,2
