time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-21 00:00:00+00:00,,,8.0,2.0
2024-10-22 00:00:00+00:00,,,2.0,2.0
2024-10-23 00:00:00+00:00,10.0,9.0,129.0,4.0
2024-10-24 00:00:00+00:00,2.0,1.0,8.0,2.0
2024-10-25 00:00:00+00:00,5.0,3.0,16.0,1.0
2024-10-26 00:00:00+00:00,1.0,1.0,5.0,1.0
2024-10-27 00:00:00+00:00,1.0,1.0,,
2024-10-28 00:00:00+00:00,1.0,1.0,44.0,1.0
2024-10-29 00:00:00+00:00,2.0,2.0,24.0,1.0
2024-10-30 00:00:00+00:00,,,2.0,2.0
2024-11-01 00:00:00+00:00,1.0,1.0,11.0,1.0
