time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,25,13,10.0,6.0
2025-07-10 00:00:00+00:00,13,7,,
2025-07-11 00:00:00+00:00,17,9,,
2025-07-12 00:00:00+00:00,11,5,,
2025-07-13 00:00:00+00:00,12,6,,
2025-07-14 00:00:00+00:00,12,4,,
2025-07-15 00:00:00+00:00,15,9,2.0,2.0
2025-07-16 00:00:00+00:00,9,3,,
2025-07-17 00:00:00+00:00,9,3,,
2025-07-18 00:00:00+00:00,13,7,1.0,1.0
2025-07-19 00:00:00+00:00,12,6,,
2025-07-20 00:00:00+00:00,12,6,,
2025-07-21 00:00:00+00:00,9,3,,
