time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,15,7,,
2025-07-05 00:00:00+00:00,13,6,,
2025-07-06 00:00:00+00:00,13,7,,
2025-07-07 00:00:00+00:00,16,10,,
2025-07-08 00:00:00+00:00,11,5,,
2025-07-09 00:00:00+00:00,25,13,10.0,6.0
2025-07-10 00:00:00+00:00,13,7,,
2025-07-11 00:00:00+00:00,17,9,,
2025-07-12 00:00:00+00:00,11,5,,
2025-07-13 00:00:00+00:00,12,6,,
2025-07-14 00:00:00+00:00,12,4,,
2025-07-15 00:00:00+00:00,15,9,2.0,2.0
2025-07-16 00:00:00+00:00,9,3,,
