time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-27 00:00:00+00:00,12,6,,
2025-06-28 00:00:00+00:00,13,7,,
2025-06-29 00:00:00+00:00,11,4,,
2025-06-30 00:00:00+00:00,17,10,,
2025-07-01 00:00:00+00:00,12,6,,
2025-07-02 00:00:00+00:00,13,7,,
2025-07-03 00:00:00+00:00,12,6,3.0,1.0
2025-07-04 00:00:00+00:00,15,7,,
2025-07-05 00:00:00+00:00,13,6,,
2025-07-06 00:00:00+00:00,13,7,,
2025-07-07 00:00:00+00:00,16,10,,
2025-07-08 00:00:00+00:00,11,5,,
2025-07-09 00:00:00+00:00,25,13,10.0,6.0
