
  Obs    CAUSE  YEAR                 STATE  STATE_CODE                                                POPULATION  DEATHS  POPULATION_SIZE      CRUDE_RATE       CRUDE_SE  AGE_ADJUSTED_RATE  AGE_ADJUSTED_SE           POPBYSTATE
-----  -------  ----  --------------------  ----------  --------------------------------------------------------  ------  ---------------  --------------  -------------  -----------------  ---------------  -------------------
    1  V01-Y89  1999  Alabama                        1  AIAN, NH                                                       7            22132   31.6284113501  11.9544158281       29.587353965    11.2845613002  AIAN, NH:Alabama
    2  V01-Y89  1999  Alaska                         2  AIAN, NH                                                     167           103680  161.0725308642  12.4641666506      193.128733239    16.4116635679  AIAN, NH:Alaska
    3  V01-Y89  1999  Arizona                        4  AIAN, NH                                                     360           242308  148.5712399095   7.8303918818     179.9784948084    10.3838060263  AIAN, NH:Arizona
    4  V01-Y89  1999  Arkansas                       5  AIAN, NH                                                       3            17293   17.3480599086  10.0159070582      20.1654044233    11.6425016721  AIAN, NH:Arkansas
    5  V01-Y89  1999  California                     6  AIAN, NH                                                      93           221880   41.9145484045   4.3463362002      43.1251154335     4.6299685538  AIAN, NH:California
    6  V01-Y89  1999  Alaska                         2  API, NH                                                       12            29625   40.5063291139  11.6931700089      38.6962057006    11.2573346018  API, NH:Alaska
    7  V01-Y89  1999  Alabama                        1  API, NH                                                        8            32953   24.2770005766   8.5832158673      19.9736770455     7.1550870074  API, NH:Alabama
    8  V01-Y89  1999  California                     6  API, NH                                                      947          3892494   24.3288750092   0.7905822105      26.5198177658      0.898752727  API, NH:California
    9  V01-Y89  1999  Arizona                        4  API, NH                                                       35           100257   34.9102805789    5.900914433      34.6762827175     6.6858324498  API, NH:Arizona
   10  V01-Y89  1999  Arkansas                       5  API, NH                                                        5            20980    23.832221163  10.6580933151      19.2895167755     8.9075234213  API, NH:Arkansas
   11  V01-Y89  1999  Alaska                         2  B, NH                                                         14            24886   56.2565297758  15.0351900136      48.1131296609    12.9004710516  B, NH:Alaska
   12  V01-Y89  1999  Alabama                        1  B, NH                                                        956          1156898    82.634769876   2.6725994571      86.5880126831     2.8522156771  B, NH:Alabama
   13  V01-Y89  1999  Arkansas                       5  B, NH                                                        335           422065   79.3716607632   4.3365370779      85.7776933268     4.8212581209  B, NH:Arkansas
   14  V01-Y89  1999  California                     6  B, NH                                                       1427          2312110   61.7185168526   1.6338173156      64.9918074487     1.7622086818  B, NH:California
   15  V01-Y89  1999  Arizona                        4  B, NH                                                        128           159387   80.3076787944   7.0982630321      88.4899472103     8.4603284593  B, NH:Arizona
   16  V01-Y89  1999  Alabama                        1  Hispanic                                                      32            65183   49.0925548072   8.6784196025      46.1610801527     9.7100404623  Hispanic:Alabama
   17  V01-Y89  1999  Alaska                         2  Hispanic                                                      13            23997   54.1734383465  15.0250084405      95.0420549482    51.1714183826  Hispanic:Alaska
   18  V01-Y89  1999  Arizona                        4  Hispanic                                                     791          1235716   64.0114718916    2.275985924      72.9122768883     3.0960024911  Hispanic:Arizona
   19  V01-Y89  1999  Arkansas                       5  Hispanic                                                      25            74627   33.4999397001     6.69998794      27.6702284566     6.5708925861  Hispanic:Arkansas
   20  V01-Y89  1999  California                     6  Hispanic                                                    3702         10682606   34.6544653992   0.5695619868       39.797501221     0.7708414981  Hispanic:California

... 5 more observations (showing 20 of 25)

